mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.0004987120628356934,0.000499383020377004,0.0,0.0,1,linear,,"{'C': 1, 'kernel': 'linear'}",0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9857142857142858,0.9785714285714286,0.007142857142857173,5
0.0,0.0,0.0,0.0,10,linear,,"{'C': 10, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.9785714285714286,0.007142857142857173,5
0.0,0.0,0.0002498626708984375,0.00043277484091095526,100,linear,,"{'C': 100, 'kernel': 'linear'}",0.9714285714285714,0.9857142857142858,0.9714285714285714,0.9857142857142858,0.9785714285714286,0.007142857142857173,5
0.0,0.0,0.000995934009552002,2.558837882717333e-06,1000,linear,,"{'C': 1000, 'kernel': 'linear'}",0.9714285714285714,0.9857142857142858,0.9714285714285714,0.9857142857142858,0.9785714285714286,0.007142857142857173,5
0.0010039806365966797,1.1280247919257747e-05,0.0,0.0,1,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9857142857142858,0.9642857142857143,0.012371791482634842,14
0.0017673373222351074,0.00044504518797167157,0.00047707557678222656,0.00047723866486584576,1,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8571428571428571,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.907142857142857,0.031134992453861962,15
0.001745760440826416,0.00043170812223012993,0.0002492666244506836,0.0004317424581797746,1,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6285714285714286,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6178571428571429,0.006185895741317397,18
0.001262068748474121,0.00044357203177702626,0.0007491111755371094,0.00043497334783593314,1,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6285714285714286,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6178571428571429,0.006185895741317397,18
0.0007644891738891602,0.0004420089003820979,0.0,0.0,10,rbf,0.1,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9857142857142858,0.9714285714285714,0.9857142857142858,1.0,0.9857142857142858,0.01010152544552211,1
0.0004987120628356934,0.0004987120699594706,0.0004963278770446777,0.0004963411120055047,10,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.01010152544552211,11
0.0014972686767578125,0.0004976996547440088,0.0004977583885192871,0.0004977595947428246,10,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8285714285714286,0.9142857142857143,0.9,0.9428571428571428,0.8964285714285714,0.04210652186625567,16
0.002010047435760498,2.6365136177923056e-05,0.00023412704467773438,0.0004055199368077844,10,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6285714285714286,0.6142857142857143,0.6142857142857143,0.6142857142857143,0.6178571428571429,0.006185895741317397,18
0.0,0.0,0.0002505779266357422,0.00043401370018837215,100,rbf,0.1,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9857142857142858,0.975,0.006185895741317445,9
0.0009979605674743652,4.45103845826654e-05,0.0,0.0,100,rbf,0.01,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.9857142857142858,0.9714285714285714,0.9857142857142858,1.0,0.9857142857142858,0.01010152544552211,1
0.0009871125221252441,1.6838813242587696e-05,0.0004994869232177734,0.0004994869516686771,100,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.01010152544552211,11
0.00175398588180542,0.00043822555371280937,0.00024884939193725586,0.0004310197902679481,100,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.8285714285714286,0.9142857142857143,0.8857142857142857,0.9428571428571428,0.8928571428571428,0.0422577127364258,17
0.0,0.0,0.0,0.0,1000,rbf,0.1,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",0.9714285714285714,1.0,0.9714285714285714,0.9857142857142858,0.9821428571428572,0.01184508853698358,4
0.0,0.0,0.0009968280792236328,1.877309769156411e-06,1000,rbf,0.01,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9857142857142858,0.975,0.006185895741317445,9
0.0007485747337341309,0.0004321903939677571,0.00024950504302978516,0.0004321554112722469,1000,rbf,0.001,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.9857142857142858,0.9714285714285714,0.9857142857142858,1.0,0.9857142857142858,0.01010152544552211,1
0.0009971857070922852,1.0860483144693731e-06,0.00023895502090454102,0.00041388223693034824,1000,rbf,0.0001,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.01010152544552211,11
